x1,x2,x3,x4,x5,x6,x7,math
-1.0,-1.0,25.0,19.0,2.0,1.0,2.0,104.0
-4.0,15.0,28.0,17.0,10.0,7.0,2.0,116.0
16.0,5.0,27.0,18.0,3.0,-1.0,0.0,117.0
12.0,5.0,27.0,18.0,3.0,2.0,1.0,119.0
-2.0,-7.0,24.0,17.0,2.0,1.0,2.0,108.0
-4.0,-5.0,28.0,21.0,4.0,1.0,3.0,92.0
16.0,1.0,29.0,17.0,3.0,-1.0,-1.0,117.0
-8.0,10.0,29.0,18.0,10.0,8.0,6.0,112.0
13.0,3.0,27.0,17.0,3.0,2.0,1.0,121.0
1.0,-0.0,25.0,15.0,2.0,0.0,-0.0,104.0
-7.0,-9.0,27.0,20.0,1.0,5.0,4.0,99.0
11.0,11.0,26.0,18.0,5.0,1.0,0.0,121.0
13.0,11.0,25.0,17.0,3.0,-2.0,-1.0,119.0
1.0,-3.0,25.0,17.0,1.0,-0.0,-0.0,103.0
13.0,12.0,31.0,18.0,4.0,-1.0,-3.0,106.0
-4.0,-9.0,25.0,17.0,4.0,3.0,3.0,104.0
14.0,5.0,30.0,20.0,1.0,-2.0,-2.0,107.0
19.0,10.0,31.0,16.0,5.0,-0.0,0.0,118.0
14.0,6.0,25.0,16.0,4.0,2.0,0.0,129.0
9.0,3.0,30.0,18.0,3.0,1.0,1.0,106.0
-3.0,-8.0,22.0,17.0,-2.0,-2.0,1.0,99.0
16.0,4.0,28.0,17.0,4.0,-1.0,-1.0,117.0
-3.0,-1.0,22.0,23.0,2.0,4.0,3.0,115.0
-3.0,-10.0,25.0,16.0,1.0,-1.0,1.0,98.0
-3.0,-11.0,25.0,17.0,3.0,1.0,2.0,104.0
16.0,5.0,25.0,16.0,4.0,2.0,1.0,131.0
9.0,3.0,26.0,18.0,6.0,1.0,2.0,117.0
-6.0,13.0,29.0,20.0,11.0,9.0,6.0,114.0
-2.0,0.0,24.0,17.0,7.0,3.0,2.0,114.0
8.0,-0.0,24.0,16.0,7.0,3.0,-0.0,127.0
-4.0,-8.0,24.0,14.0,1.0,1.0,3.0,104.0
-5.0,5.0,29.0,20.0,10.0,7.0,6.0,113.0
16.0,7.0,31.0,20.0,4.0,-3.0,-1.0,110.0
18.0,13.0,27.0,15.0,6.0,-1.0,-1.0,125.0
11.0,4.0,27.0,19.0,4.0,-0.0,-0.0,115.0
15.0,4.0,25.0,15.0,6.0,2.0,-2.0,133.0
-1.0,-0.0,29.0,18.0,5.0,1.0,1.0,99.0
9.0,3.0,25.0,17.0,6.0,2.0,2.0,126.0
-3.0,12.0,27.0,18.0,9.0,8.0,3.0,121.0
-3.0,-7.0,25.0,17.0,6.0,3.0,1.0,110.0
12.0,3.0,28.0,18.0,4.0,-0.0,1.0,115.0
-5.0,1.0,30.0,19.0,10.0,8.0,7.0,115.0
-3.0,4.0,20.0,22.0,4.0,4.0,2.0,121.0
13.0,5.0,28.0,18.0,5.0,1.0,1.0,121.0
-2.0,-9.0,25.0,16.0,-1.0,2.0,3.0,104.0
-2.0,6.0,29.0,19.0,9.0,5.0,3.0,113.0
-10.0,-12.0,24.0,17.0,5.0,1.0,3.0,97.0
20.0,10.0,28.0,15.0,4.0,-3.0,-2.0,117.0
14.0,5.0,29.0,18.0,5.0,0.0,-1.0,119.0
-4.0,-5.0,26.0,15.0,3.0,-3.0,0.0,92.0
-6.0,9.0,26.0,19.0,10.0,8.0,6.0,125.0
-6.0,1.0,26.0,20.0,4.0,1.0,0.0,98.0
-1.0,2.0,24.0,16.0,7.0,4.0,2.0,117.0
-5.0,-8.0,29.0,19.0,1.0,1.0,2.0,88.0
-4.0,-4.0,26.0,18.0,4.0,2.0,3.0,104.0
9.0,0.0,28.0,18.0,3.0,2.0,1.0,111.0
14.0,10.0,28.0,18.0,7.0,1.0,-3.0,123.0
-3.0,-3.0,30.0,21.0,4.0,4.0,1.0,99.0
12.0,4.0,31.0,19.0,4.0,2.0,1.0,111.0
-4.0,-4.0,28.0,18.0,5.0,3.0,1.0,98.0
13.0,4.0,27.0,17.0,5.0,1.0,1.0,120.0
-1.0,-12.0,24.0,16.0,4.0,1.0,1.0,110.0
14.0,4.0,28.0,16.0,5.0,-0.0,-1.0,117.0
18.0,8.0,25.0,16.0,2.0,-4.0,-1.0,121.0
-2.0,4.0,30.0,18.0,8.0,6.0,5.0,111.0
10.0,4.0,29.0,17.0,5.0,1.0,0.0,111.0
9.0,8.0,29.0,18.0,2.0,0.0,2.0,108.0
11.0,1.0,28.0,20.0,2.0,-1.0,-0.0,104.0
9.0,2.0,28.0,19.0,6.0,0.0,-1.0,113.0
12.0,5.0,29.0,19.0,5.0,-0.0,-1.0,115.0
8.0,2.0,27.0,18.0,4.0,3.0,1.0,116.0
18.0,5.0,28.0,15.0,5.0,-1.0,-0.0,123.0
14.0,7.0,29.0,19.0,6.0,-0.0,1.0,117.0
2.0,-3.0,20.0,15.0,1.0,-2.0,-1.0,113.0
14.0,6.0,26.0,17.0,5.0,2.0,1.0,127.0
-1.0,-2.0,27.0,14.0,3.0,1.0,4.0,103.0
14.0,8.0,26.0,16.0,4.0,2.0,0.0,126.0
1.0,-8.0,22.0,13.0,3.0,-1.0,-0.0,110.0
-1.0,1.0,30.0,16.0,0.0,-3.0,-0.0,82.0
13.0,5.0,31.0,22.0,2.0,-3.0,-2.0,100.0
13.0,0.0,24.0,16.0,1.0,-1.0,-1.0,118.0
1.0,1.0,8.0,7.0,1.0,0.0,0.0,145.0
-3.0,-7.0,24.0,15.0,5.0,4.0,4.0,115.0
12.0,2.0,27.0,15.0,7.0,2.0,-0.0,124.0
-4.0,3.0,30.0,21.0,8.0,8.0,6.0,109.0
10.0,10.0,26.0,17.0,1.0,0.0,2.0,116.0
-5.0,6.0,27.0,20.0,9.0,8.0,4.0,115.0
14.0,8.0,27.0,18.0,5.0,1.0,0.0,122.0
-6.0,3.0,34.0,23.0,10.0,10.0,5.0,103.0
-10.0,-11.0,23.0,18.0,3.0,3.0,5.0,104.0
15.0,6.0,30.0,17.0,4.0,0.0,2.0,113.0
-4.0,5.0,29.0,19.0,7.0,7.0,4.0,109.0
-4.0,14.0,30.0,17.0,10.0,8.0,5.0,114.0
12.0,6.0,26.0,18.0,5.0,-2.0,-1.0,119.0
12.0,1.0,30.0,17.0,6.0,-0.0,1.0,111.0
-4.0,11.0,28.0,19.0,9.0,8.0,4.0,118.0
-2.0,3.0,29.0,18.0,9.0,7.0,3.0,111.0
-2.0,-6.0,21.0,16.0,2.0,1.0,-0.0,110.0
17.0,7.0,28.0,18.0,4.0,-1.0,-1.0,117.0
-5.0,-7.0,25.0,14.0,4.0,3.0,3.0,105.0
18.0,16.0,26.0,16.0,3.0,-1.0,-1.0,122.0
-9.0,4.0,29.0,20.0,8.0,6.0,6.0,102.0
-7.0,-11.0,29.0,21.0,6.0,1.0,4.0,93.0
-5.0,6.0,28.0,21.0,5.0,5.0,4.0,103.0
12.0,9.0,30.0,20.0,2.0,-1.0,0.0,109.0
10.0,4.0,28.0,19.0,3.0,-0.0,-1.0,111.0
-5.0,9.0,26.0,17.0,4.0,9.0,5.0,114.0
-3.0,0.0,29.0,20.0,9.0,7.0,5.0,114.0
11.0,1.0,27.0,18.0,3.0,-1.0,-1.0,112.0
12.0,1.0,25.0,15.0,5.0,-1.0,-1.0,121.0
12.0,4.0,25.0,17.0,2.0,1.0,-0.0,121.0
-1.0,3.0,20.0,24.0,3.0,-0.0,-0.0,116.0
12.0,9.0,28.0,17.0,4.0,0.0,-1.0,117.0
15.0,6.0,29.0,16.0,2.0,0.0,2.0,117.0
-4.0,-7.0,25.0,19.0,-0.0,2.0,2.0,100.0
-2.0,-2.0,25.0,18.0,6.0,3.0,1.0,110.0
12.0,9.0,30.0,19.0,5.0,-0.0,-0.0,111.0
8.0,1.0,29.0,19.0,4.0,2.0,1.0,109.0
-8.0,-14.0,26.0,17.0,-2.0,1.0,3.0,87.0
-2.0,-0.0,22.0,21.0,1.0,4.0,2.0,115.0
-4.0,-5.0,27.0,20.0,3.0,2.0,2.0,100.0
-2.0,3.0,31.0,18.0,8.0,7.0,6.0,108.0
-3.0,-1.0,21.0,13.0,4.0,0.0,1.0,113.0
-3.0,-9.0,26.0,17.0,2.0,0.0,2.0,100.0
-1.0,-5.0,28.0,19.0,2.0,3.0,2.0,102.0
-3.0,-13.0,26.0,16.0,2.0,0.0,1.0,99.0
